id,Video_Id,Title,Channel_Name,Category,Description,Views,Likes,Dislikes,Comments,Date,Time,Thumb,Video
52,0WNQL4joTUDpt9vk,Chhapaak -  Official Trailer  Deepika Padukone  Vikrant Massey  Meghna Gulzar  10 January 2020,shubhum, Drama,"A true story based on acid attack survivor Malti's (Laxmi Agarwal) grueling and glorious journey from her medical treatment, court proceedings leading to her emotional healing.",0,0,0,,07-03-2020,09:19,media/Chhapaak_-__Official_Trailer__Deepika_Padukone__Vikrant_Massey__Meghna_Gulzar__10__bwnstHj.jpg,media/Chhapaak_-__Official_Trailer__Deepika_Padukone__Vikrant_Massey__Meghna_Gulzar__10__MWoMJgI.mp4
53,GxUSPIQOIhrVobWS,Chhichhore - Official Trailer  Nitesh Tiwari  Sushant  Shraddha  Sajid Nadiadwala  6th Sept,shubhum, Comedy Romance,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,0,0,0,,07-03-2020,09:19,media/Chhichhore_-_Official_Trailer__Nitesh_Tiwari__Sushant__Shraddha__Sajid_Nadiadwala__ms46hyz.jpg,media/Chhichhore_-_Official_Trailer__Nitesh_Tiwari__Sushant__Shraddha__Sajid_Nadiadwala__5xGmPIf.mp4
54,RD11aokZsvyNUEIA,Commando 3 - Official Trailer,shubhum, Action Thriller,A mysterious man is on an impending mission to attack the country from his base in London. Karan Singh Dogra sets out to hunt down the antagonist aided by the British Intelligence.,0,0,0,,07-03-2020,09:19,media/Commando_3_-_Official_Trailer.jpg,media/Commando_3_-_Official_Trailer.mp4
55,TZrhgE0cN15WoLsb,Dabangg 3 - Official Trailer  Salman Khan  Sonakshi Sinha  Prabhu Deva  20th Dec19,shubhum, Action,"Chulbul this time has to take on a criminal named Balli Singh, who has disrupted other people's lives with his annoying antics.",0,0,0,,07-03-2020,09:20,media/Dabangg_3_-_Official_Trailer__Salman_Khan__Sonakshi_Sinha__Prabhu_Deva__20th_Dec19.jpg,media/Dabangg_3_-_Official_Trailer__Salman_Khan__Sonakshi_Sinha__Prabhu_Deva__20th_Dec19.mp4
56,3n9uEch05Dx2Had7,DARBAR - (Hindi)  Official Trailer  Rajinikanth  AR Murugadoss  Anirudh  In Cinemas Now,shubhum,,,0,0,0,,07-03-2020,09:20,media/DARBAR_-_Hindi__Official_Trailer__Rajinikanth__AR_Murugadoss__Anirudh__In_Cinemas_Now.jpg,media/DARBAR_-_Hindi__Official_Trailer__Rajinikanth__AR_Murugadoss__Anirudh__In_Cinemas_Now.mp4
57,l6tIBy4fFzP0m8LB,Dobaara - See Your Evil  Official Trailer  Huma Qureshi Saqib Saleem,shubhum, Romance,"22-year-old Parvathy is a free-spirited girl who loves to live life on her terms. However, when she is left with no option but to tie the knot with a man of her parents' choice, her life takes a 360 degree turn. Mohan and Parvathy migrate, and this marks the beginning of their new life together. But Mohan's priorities are clearly defined from the very start of their relationship. He invests all his time in his work. His intentions are pure; to build the perfect life for his family. But with a new addition to the family and as the years go by, Mohan gets further involved in his work. It is only after their son, Rohit, graduates that Parvathy decides to take a drastic step, shaking up her 20 years of marriage.",0,0,0,,07-03-2020,09:20,media/Dobaara_-_See_Your_Evil__Official_Trailer__Huma_Qureshi_Saqib_Saleem.jpg,media/Dobaara_-_See_Your_Evil__Official_Trailer__Huma_Qureshi_Saqib_Saleem.mp4
58,qzBG4OrGSerKXnZj,Dream Girl - Official Trailer  Ayushmann Khurrana Nushrat Bharucha  13th Sep,shubhum,,"A young woman spends much of her time fantasizing about what might be, but a realistic admirer tries to convince her to live the life she has.",0,0,0,,07-03-2020,09:20,media/Dream_Girl_-_Official_Trailer__Ayushmann_Khurrana_Nushrat_Bharucha__13th_Sep.jpg,media/Dream_Girl_-_Official_Trailer__Ayushmann_Khurrana_Nushrat_Bharucha__13th_Sep.mp4
59,Pn8ewDqSfnGvX08P,Ek Ladki Ko Dekha Toh Aisa Laga - Official Trailer  Anil  Sonam  Rajkummar  Juhi  1st Feb19,shubhum, Comedy Drama Romance,Sweety has to contend with her over-enthusiastic family that wants her to get married but the ultimate truth is that her love might not find acceptance in her family and society.,0,0,0,,07-03-2020,09:20,media/Ek_Ladki_Ko_Dekha_Toh_Aisa_Laga_-_Official_Trailer__Anil__Sonam__Rajkummar__Juhi___A9XUWRC.jpg,media/Ek_Ladki_Ko_Dekha_Toh_Aisa_Laga_-_Official_Trailer__Anil__Sonam__Rajkummar__Juhi___3Ki5oP1.mp4
60,d7FPplraXTRGJTTV,Game Over - Hindi Official Trailer  Taapsee Pannu Ashwin Saravanan  Y Not Studios  June 14,shubhum, Action Comedy,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,0,0,0,,07-03-2020,09:20,media/Game_Over_-_Hindi_Official_Trailer__Taapsee_Pannu_Ashwin_Saravanan__Y_Not_Studios__June_14.jpg,media/Game_Over_-_Hindi_Official_Trailer__Taapsee_Pannu_Ashwin_Saravanan__Y_Not_Studios__June_14.mp4
61,lHShcYHMhaGctSEK,Good Newwz - Official Trailer  Akshay Kareena Diljit Kiara  Raj Mehta  In cinemas 27th Dec,shubhum, Comedy Drama Family Romance,Two couples with the same surnames pursue in-vitro fertilisation and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,0,0,0,,07-03-2020,09:20,media/Good_Newwz_-_Official_Trailer__Akshay_Kareena_Diljit_Kiara__Raj_Mehta__In_cinemas_27th_Dec.jpg,media/Good_Newwz_-_Official_Trailer__Akshay_Kareena_Diljit_Kiara__Raj_Mehta__In_cinemas_27th_Dec.mp4
